class,label,concept
railway station,0,a clock tower on one side of the building
railway station,0,a few birds flying around
railway station,0,a few buses parked in a separate area off to one side
railway station,0,a few cars and buses parked in the station
railway station,0,a few cars can be seen parked in
railway station,0,a few cars parked in the lot
railway station,0,a few dark spots
railway station,0,a few kiosks selling snacks and drinks
railway station,0,a few of them are raised up above the tracks
railway station,0,a few other trains parked in the station
railway station,0,a few people are waiting at the bus
railway station,0,a few people waiting for the train
railway station,0,a few people walking around
railway station,0,a few trains can be seen stopped at the
railway station,0,a few trains parked on the tracks
railway station,0,a few trees and shrubs around it
railway station,0,a few tunnels leading under
railway station,0,a footbridge
railway station,0,a large sign on the other side
railway station,0,a lot of activity going on
railway station,0,a lot of coming and going
railway station,0,a lot of movement and activity
railway station,0,a lot of people coming and going
railway station,0,"a number of amenities, including shops and restaurants"
railway station,0,a series of power lines
railway station,0,a series of tracks running behind them
railway station,0,a third track runs along the side of
railway station,0,accessed by a set of stairs or an escalator
railway station,0,adjacent to a busy road
railway station,0,always bustling with activity
railway station,0,and a few parking spaces
railway station,0,announcements being made over a loud-speaker
railway station,0,appears to be surrounded by trees and other vegetation
railway station,0,appears to be well-used
railway station,0,back of building taken largely by a large car park
railway station,0,benches along the platform
railway station,0,benches and a luggage rack inside
railway station,0,blue sky
railway station,0,"bright, cheery red"
railway station,0,"bright, sunny yellow"
railway station,0,brightly lit
railway station,0,broken windows
railway station,0,brown roof and beige walls
railway station,0,"building has a ticket office, waiting room, and other facilities"
railway station,0,buildings on either side of the rectangle
railway station,0,built on a linear north-south axis
railway station,0,built on a raised platform
railway station,0,busiest scene in the area
railway station,0,bustling and vibrant scene
railway station,0,bustling scene with a lot of activity
railway station,0,bustling with activity
railway station,0,busy
railway station,0,busy scene
railway station,0,busy scene full of people and activity
railway station,0,busy with people coming and going
railway station,0,"busy, vibrant scene"
railway station,0,cameras mounted on the walls
railway station,0,car park to one side of the station
railway station,0,cars and buses passing by
railway station,0,central
railway station,0,central section
railway station,0,"central, octagonal building with a clock tower"
railway station,0,centre of a large city
railway station,0,clean and well-lit
railway station,0,clean and well-maintained
railway station,0,clinic and a lost and found office
railway station,0,clock above the entrance
railway station,0,clock on all four sides
railway station,0,clock on the front
railway station,0,clock on the front of the building
railway station,0,clock tower on the far end of the building
railway station,0,colorful flowers of all different hues
railway station,0,come and go very fast
railway station,0,concrete
railway station,0,connected to the main building by a series of scene
railway station,0,consists of a main building and a few smaller structures
railway station,0,control room from which the train traffic is managed
railway station,0,convenient scene to catch a train or bus
railway station,0,covered
railway station,0,cutting to the east of the station
railway station,0,"dark color, possibly black"
railway station,0,"dark color, possibly gray"
railway station,0,daytime in the image
railway station,0,deep green
railway station,0,deep red color
railway station,0,dirty white color
railway station,0,doors and windows appear to be in good condition
railway station,0,doors are also red
railway station,0,doors are open
railway station,0,dotted with the occasional white car
railway station,0,each chimney has a white cross on it
railway station,0,each tower has a white clock
railway station,0,each with a different track
railway station,0,each with a track running through it
railway station,0,each with a track running through the middle
railway station,0,each with a waiting room
railway station,0,each with a waiting room and a ticket office
railway station,0,electric
railway station,0,"end of platform is a large, square clock tower"
railway station,0,entrance to the scene is located at one end of the building
railway station,0,entranceway at one end
railway station,0,fence surrounds platform
railway station,0,few buildings or people around
railway station,0,few cafes and shops in the station
railway station,0,few cars parked in the lot
railway station,0,few light-colored areas on the roof
railway station,0,few people can be seen walking nearby
railway station,0,few people milling about near the entrance to the scene
railway station,0,few scene in the sky
railway station,0,few trees and bushes around the scene
railway station,0,"flanked by two long, thin buildings"
railway station,0,flanked by two smaller ones
railway station,0,flanked by two smaller side entrances
railway station,0,footbridge connecting the two platforms
railway station,0,footpath leading from the car park to the main entrance of the scene
railway station,0,four corners
railway station,0,four platforms
railway station,0,four red flags on the roof of the scene
railway station,0,"four sets of double doors leading into the building, two on each side"
railway station,0,four sides
railway station,0,friendly and helpful
railway station,0,"from the satellite looks like a large, rectangular building with a long, curved roof"
railway station,0,"from the satellite looks like a small, rectangular building with a few small windows"
railway station,0,front has two large doors
railway station,0,"front has wide, dark gray door that leads into the main lobby"
railway station,0,front is covered in graffiti
railway station,0,front is faced with red brick
railway station,0,front is faced with stone
railway station,0,front of the building is faced with a large clock tower
railway station,0,front of the building is faced with stone
railway station,0,front of the building is symmetrical
railway station,0,front of the scene
railway station,0,front of the scene is surrounded by a scene
railway station,0,front of the station is curved
railway station,0,front of the station is decorated with a clock tower
railway station,0,front of the station is symmetrical
railway station,0,full
railway station,0,full of people coming and going
railway station,0,gate in the fence
railway station,0,gate in the fence which leads to the platforms
railway station,0,gate is open
railway station,0,gate leading into it
railway station,0,gate leading to the platform
railway station,0,gate that leads to the platform
railway station,0,gate that leads to the scene
railway station,0,gravel path leading from scene to front doors of the scene
railway station,0,grid pattern
railway station,0,hands pointing to the time of the next train
railway station,0,has a series of skylights running along its length
railway station,0,hotel and shopping centre
railway station,0,houses and shops nearby
railway station,0,houses nearby
railway station,0,huge expanse of black asphalt
railway station,0,"in a urban area, with various buildings and structures nearby"
railway station,0,in good condition
railway station,0,"in need of some repairs, but it is still standing"
railway station,0,in the distance some hills or scene
railway station,0,in the distance there are a few buildings
railway station,0,laid out in a linear fashion
railway station,0,large and has a clock tower
railway station,0,large and made of stone
railway station,0,large and rectangular in shape
railway station,0,large buildings and houses nearby
railway station,0,large car park
railway station,0,large car park in front of it
railway station,0,large central hall with a ticket office to one side
railway station,0,large clock above front doors of the scene
railway station,0,large clock above them
railway station,0,large clock face on each side
railway station,0,large clock on the front of the building
railway station,0,large clock on the front of the scene
railway station,0,"large dark area to the side, which is probably a scene"
railway station,0,large scene
railway station,0,large scene in front
railway station,0,large scene in front of the main building
railway station,0,large scene in front of the station
railway station,0,large scene next to the scene
railway station,0,large scene on the side
railway station,0,large sign above front doors of the scene
railway station,0,large windows on either side of the main entrance
railway station,0,large windows on the front and sides
railway station,0,"large, brick-red building"
railway station,0,"large, busy scene"
railway station,0,"large, green field behind the scene"
railway station,0,"large, oblong building with a flat roof"
railway station,0,"large, open area"
railway station,0,"large, open area with a few buildings and a lot of tracks"
railway station,0,"large, open area with many tracks running through it"
railway station,0,"large, open doorway"
railway station,0,"large, open space with several tracks running through it"
railway station,0,"large, rectangular building"
railway station,0,"large, rectangular building with a bright red roof"
railway station,0,"large, rectangular building with a flat roof"
railway station,0,"large, rectangular building with a light gray exterior"
railway station,0,"large, rectangular building with a long, curved roof"
railway station,0,"large, rectangular building with a long, flat roof"
railway station,0,"large, rectangular building with a red roof"
railway station,0,"large, rectangular structure"
railway station,0,"large, rectangular structure with a clock tower on one end"
railway station,0,"large, red rectangular shape with white lettering"
railway station,0,"large, red sign with the word ""train"" in white"
railway station,0,"large, sprawling building with a grey roof"
railway station,0,"large, sprawling complex"
railway station,0,"large, white building"
railway station,0,largest building in the area
railway station,0,length is twice its width
railway station,0,light beige color
railway station,0,light color
railway station,0,"light color, most likely white"
railway station,0,"light color, possibly asphalt"
railway station,0,light-colored exterior with large windows and a dark-colored roof
railway station,0,"line with small, white stones"
railway station,0,lit up by the lights inside and outside the building
railway station,0,located in a busy city
railway station,0,"located in a busy, urban area"
railway station,0,"located in a busy, urban area, with tall buildings and busy streets"
railway station,0,located in a rural area
railway station,0,located in a suburban area
railway station,0,located in a urban area
railway station,0,long and narrow
railway station,0,long and narrow shape
railway station,0,long main platform
railway station,0,long platform running along its length
railway station,0,long sides are parallel to each other
railway station,0,"long, curved roof"
railway station,0,"long, rectangular shape"
railway station,0,"long, sloped roof that is covered in red tiles"
railway station,0,"long, straight platform"
railway station,0,"long, straight platform in front of it"
railway station,0,"long, straight platform running along its length"
railway station,0,"long, thin building with a pointy roof"
railway station,0,looks clean and well-maintained
railway station,0,"looks like a large, open space with a few buildings and a lot of tracks"
railway station,0,looks like it has been through a lot of wear and tear
railway station,0,looks very clean and well-maintained
railway station,0,lot of foot traffic
railway station,0,lot of people waiting for trains
railway station,0,made of brick
railway station,0,made of concrete
railway station,0,made of metal
railway station,0,made up of two long sides and two short sides
railway station,0,main road running past the front of the station
railway station,0,many cars parked in the scene
railway station,0,many people coming and going
railway station,0,"many people milling about, some waiting for trains"
railway station,0,many people walking around the station and the surrounding area
railway station,0,many windows on the sides of the scene
railway station,0,"many windows, some of which are broken"
railway station,0,marble floor and white walls
railway station,0,metal railing running along the length of the platform
railway station,0,middle of a city
railway station,0,"modern, stylish appearance"
railway station,0,mostly clear
railway station,0,"mostly dark, with a few light-colored areas"
railway station,0,mostly flat
railway station,0,name of the town is written above the entrance
railway station,0,names of the stops and the destinations
railway station,0,near many office buildings and shops
railway station,0,neatly arranged rows
railway station,0,no nearby houses or businesses
railway station,0,no obvious signs of damage or wear
railway station,0,no other buildings nearby
railway station,0,no people or animals on the tracks
railway station,0,no people or cars around the scene at night
railway station,0,no people visible in or around the station
railway station,0,no people visible in the satellite image
railway station,0,no signs of any damage or graffiti
railway station,0,no trains are present
railway station,0,number of shops and restaurants at the station
railway station,0,number of trees and bushes around the site
railway station,0,number of windows along the front
railway station,0,"on the roof there are two sets of tracks, one on each side of the building"
railway station,0,"one at the north end and one at the south end, connected by"
railway station,0,one for the
railway station,0,one for the trains
railway station,0,one is red and the other is green
railway station,0,one is the flag of the united states and the other is the
railway station,0,one of the busiest in the city
railway station,0,one of the busiest scene in the city
railway station,0,one on each side of the doors
railway station,0,one on each side of the platform
railway station,0,one on each side of the tracks
railway station,0,one set is red and the other
railway station,0,only a few empty spaces
railway station,0,only building in the vicinity
railway station,0,only structure in the immediate area
railway station,0,others working
railway station,0,overhead wires and lights around the station
railway station,0,painted a light blue color
railway station,0,parallel
railway station,0,parking area to the west of the station
railway station,0,parking garage
railway station,0,passing loop to the east
railway station,0,people coming and going at all hours of the day
railway station,0,people milling about everywhere
railway station,0,people walking around and standing on the platforms
railway station,0,platform at the scene is made of concrete
railway station,0,platform in the middle
railway station,0,platform is a concrete structure
railway station,0,platform is also covered in red graffiti
railway station,0,platform is also used for parking bicycles
railway station,0,platform is between
railway station,0,platform is empty now
railway station,0,platform is long and narrow
railway station,0,platform is long and there are many tracks
railway station,0,platform is surrounded by a track
railway station,0,platforms are connected by a series of footbridges
railway station,0,platforms are covered
railway station,0,platforms are long and there are many tracks
railway station,0,platforms on either side of the rectangle
railway station,0,popular tourist destination
railway station,0,possibly by streetlights
railway station,0,raised slightly above the ground
railway station,0,rectangular
railway station,0,red awning that extends over the front doors
railway station,0,red chimneys
railway station,0,red clock tower attached to the side of the station
railway station,0,red flag flying from the roof
railway station,0,red gate that leads to the platform
railway station,0,red lamps hanging from the awning
railway station,0,red lamps on the platform
railway station,0,red roof and red walls
railway station,0,red sign on the front of the building
railway station,0,"red sign on the front that reads ""scene"" in white letters"
railway station,0,regularly arrive and depart from the station
railway station,0,road leading to the scene
railway station,0,road running alongside the tracks
railway station,0,road running through the middle
railway station,0,roads leading to and from the station
railway station,0,"roof is a dark color, possibly black"
railway station,0,"roof is a light color, possibly white"
railway station,0,roof is covered in red tiles
railway station,0,roof is curved
railway station,0,roof is curved and has a point at the end
railway station,0,roof is curved and slopes downwards from the centre
railway station,0,roof is dark gray
railway station,0,roof is intact
railway station,0,roof is lined with skylights
railway station,0,roof of the building is sloped
railway station,0,roof over it
railway station,0,roof over the platform
railway station,0,roof over the platforms
railway station,0,run off into the distance
railway station,0,rural area
railway station,0,rusty brown
railway station,0,satellite image shows scene in a rural area
railway station,0,satellite image shows the scene at night
railway station,0,"satellite image shows the station at night, with the lights on"
railway station,0,scene
railway station,0,scene at the other end of the platform
railway station,0,scene in front of the rectangle
railway station,0,scene is a rectangle
railway station,0,scene is located in the center of the city
railway station,0,scene is located in the centre of the city
railway station,0,scene is located in the city centre
railway station,0,"scene is located in the city of houston, texas"
railway station,0,scene is long and thin
railway station,0,scene is situated in the center of the city
railway station,0,scene is situated in the centre of the town
railway station,0,scene is situated in the middle of the city
railway station,0,scene over the scene
railway station,0,scene running nearby
railway station,0,scene running through the middle of the scene
railway station,0,scene signal nearby
railway station,0,scene tracks run next to the scene
railway station,0,scene tracks run parallel to the main building
railway station,0,security cameras visible
railway station,0,security present
railway station,0,series of arches on their upper floors
railway station,0,series of lanes leading to it
railway station,0,served by buses and taxis
railway station,0,set into the curves of the roof
railway station,0,"set of double doors that are a deep, navy blue"
railway station,0,several benches along the length of the platform
railway station,0,several benches in front of the station
railway station,0,several benches on the platform
railway station,0,several buildings and platforms within the station
railway station,0,several cars and buses parked in the lot
railway station,0,several chimneys
railway station,0,several entrances to the building
railway station,0,several large signs on the platform
railway station,0,several large windows
railway station,0,several large windows along the front
railway station,0,several large windows along the sides
railway station,0,"several large, arched windows along the front of the station"
railway station,0,several platforms and tracks visible
railway station,0,several platforms with trains on them
railway station,0,several platforms with trains parked at them
railway station,0,several red benches along the front of the building
railway station,0,several residential streets nearby
railway station,0,several roads leading to and from the station
railway station,0,several roads leading to the station
railway station,0,several sets of tracks running through the station
railway station,0,several shops and restaurants
railway station,0,several shorter tracks for parking and servicing trains
railway station,0,several smaller buildings and structures around the station
railway station,0,several smaller buildings and structures nearby
railway station,0,several smaller entrances around the building
