class,label,concept
apply eye makeup,0,action
apply eye makeup,0,action or lip gloss
apply eye makeup,0,"action, start by using an eye primer to create a smooth, even base"
apply eye makeup,0,add concepts from sentence:
apply eye makeup,0,add depth and dimension
apply eye makeup,0,add drama
apply eye makeup,0,add eyeliner to the top and bottom lash line
apply eye makeup,0,add more color to their eyeshadow or layer on another coat of mascara
apply eye makeup,0,add some extra drama
apply eye makeup,0,add volume and length to lashes
apply eye makeup,0,adjust makeup a bit before they're satisfied
apply eye makeup,0,admiring their handiwork
apply eye makeup,0,admiring their work
apply eye makeup,0,"after that, they use a powder to set the foundation and concealer"
apply eye makeup,0,appearance is now much more polished and put-together
apply eye makeup,0,applies lipstick to their lips
apply eye makeup,0,applies mascara to their eyelashes
apply eye makeup,0,applies mascara to their lashes
apply eye makeup,0,apply a base eyeshadow color to your entire lid
apply eye makeup,0,apply a coat of clear mascara to their brows to keep them in place
apply eye makeup,0,apply a coat of mascara to their lashes
apply eye makeup,0,apply a coat of mascara to their lower lashes
apply eye makeup,0,apply a dark eyeshadow color to the outer corner of your eyelid
apply eye makeup,0,apply a darker eyeshadow color in the crease of your eye.
apply eye makeup,0,apply a darker eyeshadow to the crease of the eye and blend it out
apply eye makeup,0,apply a light coat of blush to the cheeks
apply eye makeup,0,apply a light dusting of setting powder to their eyelids
apply eye makeup,0,apply a light eyeshadow all over your lid
apply eye makeup,0,apply a light eyeshadow color all over the lid
apply eye makeup,0,apply a light eyeshadow color to the inner corner of your eyelid
apply eye makeup,0,apply a light eyeshadow color to your brow bone to highlight your brows
apply eye makeup,0,apply a light eyeshadow to their eyelids
apply eye makeup,0,apply a light eyeshadow to their lid
apply eye makeup,0,apply a light layer of highlighter on your brow bone and in the inner corner of
apply eye makeup,0,apply a light shadow or highlighter to the inner corner and under the brow
apply eye makeup,0,apply a lighter eyeshadow to the inner corners of their eyes
apply eye makeup,0,apply a medium shade to your crease
apply eye makeup,0,apply a medium-toned eyeshadow to the outer corner of the eye and blend it
apply eye makeup,0,apply a nude or light-colored eyeshadow to their eyelids
apply eye makeup,0,apply a nude or light-colored eyeshadow to your lower lash line
apply eye makeup,0,apply a primer or base shadow to your eyelids
apply eye makeup,0,apply a primer to help your makeup last longer
apply eye makeup,0,apply a primer to the eyelids
apply eye makeup,0,apply a primer to their eyelids
apply eye makeup,0,apply a primer to your eyelids
apply eye makeup,0,apply a second layer of eyeshadow or liner to create a desired look
apply eye makeup,0,apply a shadow to the lid
apply eye makeup,0,apply a small amount of eyeliner to your upper lash line
apply eye makeup,0,apply a small amount of primer to the eyelid to help create a smooth canvas
apply eye makeup,0,apply a small amount of primer to your eyelids
apply eye makeup,0,apply a thin layer of dark makeup to the eyelid
apply eye makeup,0,apply a thin layer of eyeshadow over the primer
apply eye makeup,0,apply a thin layer of foundation
apply eye makeup,0,apply a thin layer of foundation or concealer if needed
apply eye makeup,0,apply a thin layer of mascara to their lashes
apply eye makeup,0,apply a thin layer of primer or concealer to their eyelids
apply eye makeup,0,apply a thin line of eyeliner along their upper lash line
apply eye makeup,0,"apply a third, darker shade along the crease"
apply eye makeup,0,apply concepts from sentence:
apply eye makeup,0,apply eyeliner
apply eye makeup,0,apply eyeliner along the upper and lower lash line
apply eye makeup,0,apply eyeliner to the top and bottom lash lines
apply eye makeup,0,apply eyeliner to their upper and lower lash line
apply eye makeup,0,apply eyeliner to their upper and lower lash lines
apply eye makeup,0,apply eyeliner to your upper and lower lash line
apply eye makeup,0,apply eyeshadow
apply eye makeup,0,apply false eyelashes
apply eye makeup,0,apply false eyelashes (if desired)
apply eye makeup,0,apply false eyelashes (or if you are not using them)
apply eye makeup,0,apply foundation
apply eye makeup,0,apply glittery eyeshadow to your lid
apply eye makeup,0,apply it to their eyelids
apply eye makeup,0,apply light eyeshadow all over the lid
apply eye makeup,0,apply light eyeshadow color all over the lid
apply eye makeup,0,apply makeup
apply eye makeup,0,apply mascara
apply eye makeup,0,apply mascara to the top and bottom lashes
apply eye makeup,0,apply mascara to their eyelashes
apply eye makeup,0,apply mascara to their eyelashes to make them look longer and fuller
apply eye makeup,0,apply mascara to their lashes
apply eye makeup,0,apply mascara to their lashes and curl them with an eyelash curler
apply eye makeup,0,apply mascara to their upper and lower lashes
apply eye makeup,0,apply mascara to your lashes
apply eye makeup,0,"apply mascara to your lashes, using a light hand"
apply eye makeup,0,apply mascara to your lower lashes
apply eye makeup,0,apply mascara to your top and bottom lashes
apply eye makeup,0,apply mascara to your upper lashes
apply eye makeup,0,apply primer
apply eye makeup,0,apply primer or concealer to their eyelids to create a smooth base
apply eye makeup,0,apply primer to eyelids
apply eye makeup,0,apply primer to their eyelids
apply eye makeup,0,apply setting powder or spray to help keep your makeup in place throughout the day
apply eye makeup,0,apply setting powder to their eyelids
apply eye makeup,0,apply shadow to the crease of your eyelid
apply eye makeup,0,apply shadow to their eyelids
apply eye makeup,0,apply shadow to your eyelid using a brush
apply eye makeup,0,"apply shadow to your eyelids, starting from the inner corner and working out"
apply eye makeup,0,apply some blush and lip color
apply eye makeup,0,apply some eyeshadow to the crease of their eyes
apply eye makeup,0,apply the eye shadow to their eyelids
