class,label,concept
707-320,0,103 feet long and stands 41 feet tall
707-320,0,115 feet wide
707-320,0,12 hours in the air
707-320,0,154 feet long
707-320,0,180 passengers
707-320,0,200 passengers
707-320,0,44 aircraft were produced
707-320,0,"5,200 miles"
707-320,0,556 aircraft were built
707-320,0,"6,325 nautical miles"
707-320,0,"6,700 nautical miles"
707-320,0,74 feet long
707-320,0,a lot of features
707-320,0,a number of 707s have been converted for use as private jets
707-320,0,a number of aircrafts have been converted for use as private jets
707-320,0,"accented by a shining, metallic exterior that gleams"
707-320,0,aircraft can accommodate up to 183 passengers
707-320,0,aircraft can seat up to passengers
707-320,0,aircraft that is sure to stand out in any airport
707-320,0,"aircraft that is sure to turn heads, with its sleek and modern color scheme"
707-320,0,aircraft was replaced by the boeing 727
707-320,0,aircrafts were built
707-320,0,allows for a wider cabin than other aircraft in its
707-320,0,almost 15 feet in diameter
707-320,0,always looks
707-320,0,always looks amazing in photos and videos
707-320,0,always looks amazing on the aircraft
707-320,0,always looks clean and new
707-320,0,"around 1,010 were built in total"
707-320,0,"available in a variety of configurations, including freighter, combi, and passenger versions"
707-320,0,base for a number of other variants including the aircraftb and the 7
707-320,0,beautiful aircraft
707-320,0,beautiful color
707-320,0,beautiful cream color
707-320,0,beautiful plane
707-320,0,beautiful shade of white with blue accents
707-320,0,been replaced by newer models in most cases
707-320,0,blue and grey stripe running along the length of the fuselage
707-320,0,blue and grey stripe running down the length of the fuselage
707-320,0,blue and red stripe running along the length of the fuselage
707-320,0,blue color
707-320,0,blue color is sure to turn heads
707-320,0,blue exterior
707-320,0,blue stripe running along the length of the fuselage
707-320,0,blue stripe running down the length of the fuselage
707-320,0,bright silver
707-320,0,cabin is pressurized
707-320,0,can seat up to 180 passengers
707-320,0,capable of carrying up to 180 passengers
707-320,0,capable of carrying up to 181 passengers
707-320,0,capable of carrying up to 185 passengers
707-320,0,capable of carrying up to 186 passengers
707-320,0,capable of carrying up to 189 passengers
707-320,0,capable of carrying up to 200 passengers
707-320,0,capable of carrying up to passengers
707-320,0,capable of carrying up to passengers and crew
707-320,0,capable of flying at high altitudes and speeds
707-320,0,capacity of up to 189 passengers
707-320,0,cargo version of the aircraft
707-320,0,carry up to 181 passengers
707-320,0,carry up to passengers in its spacious cabin
707-320,0,"ceiling of 35,000 feet"
707-320,0,classic color
707-320,0,classic plane
707-320,0,clean and bright
707-320,0,color is absolutely stunning
707-320,0,color is perfect for a jet that is meant to be seen and admired
707-320,0,color is perfect for hiding dirt and stains
707-320,0,color is perfect for making a statement
707-320,0,color is very beautiful and luxurious
707-320,0,color is very different from any other color
707-320,0,color is very intense and vibrant
707-320,0,color scheme is definitely unique
707-320,0,color scheme is one of its most impressive features
707-320,0,"color scheme is simple, yet effective and stylish"
707-320,0,"color scheme is sleek, modern and stylish"
707-320,0,color scheme is very stylish and classy
707-320,0,color scheme that is both sleek and modern
707-320,0,colors really make the plane look sleek and elegant
707-320,0,"colors really make the plane look sleek, modern, and stylish"
707-320,0,"comfortable ride, even in turbulence"
707-320,0,compliments the blue
707-320,0,conventional tail unit with a single fin and rudder
707-320,0,crew of around 8-10 people
707-320,0,crew of four
707-320,0,crew of two pilots and four cabin crew members
707-320,0,cruising speed of 560 miles per hour
707-320,0,cruising speed of 575 miles per hour
707-320,0,cruising speed of 575 mph
707-320,0,cruising speed of 580 miles per hour
707-320,0,cruising speed of 580 mph
707-320,0,cruising speed of 600 miles per hour
707-320,0,cruising speed of 600 mph
707-320,0,cruising speed of 630 mph
707-320,0,cruising speed of around 600 miles per hour
707-320,0,cruising speed of mach 0.84
707-320,0,cruising speed of over 600 mph
707-320,0,currently in use by the united states air force
707-320,0,"deep, rich blue"
707-320,0,delivered to pan american world airways in 1968
707-320,0,designed as ashort- to medium-range airliner
707-320,0,designed for high-speed landings and takeoffs
707-320,0,designed for long-range flying
707-320,0,designed for long-range travel
707-320,0,development of the 707-120
707-320,0,"distinctive ""hump"" atop the fuselage, just behind the cockpit"
707-320,0,"distinctive ""hump"" on the forward fuselage"
707-320,0,"distinctive ""hump"" on the top of the fuselage"
707-320,0,"distinctive ""hump"" on the upper part of the fuselage, just behind the cockpit"
707-320,0,distinctive double-bubble fuselage
707-320,0,distinctive livery
707-320,0,"distinctive livery with a large ""c"" on the tail"
707-320,0,distinctive livery with a white body and blue stripes
707-320,0,distinctive livery with a white fuselage and blue cheatline
707-320,0,distinctive nose with a large radar dome
707-320,0,distinctive swept-back wing design
707-320,0,distinctive triple-fin tail configuration
707-320,0,"each produces 17,000 pounds of thrust"
707-320,0,easy to fly
707-320,0,easy to match with other colors and branding
707-320,0,elegant plane
707-320,0,embla
707-320,0,"empty weight of 185,000 pounds"
707-320,0,enclosed in nacelles
707-320,0,end in sharp points
707-320,0,entered service with pan american world airways in 1958
707-320,0,entered service with pan american world airways in 1964
707-320,0,equipped with advanced avionics and navigational systems
707-320,0,equipped with an apu in the tail
707-320,0,equipped with state-of-the-art avionics and navigation systems
707-320,0,equipped with state-of-the-art navigational and safety equipment
707-320,0,equipped with the latest in aviation technology
707-320,0,exterior is a sleek white
707-320,0,exterior is illuminated by bright white lights
707-320,0,exudes class and style
707-320,0,eye-catching
707-320,0,fast and powerful aircraft
707-320,0,featured in numerous films and television shows over the years
707-320,0,"features a unique ""sc"
707-320,0,"finished in a sleek, glossy white paint scheme with blue and silver stripes running along the length"
707-320,0,first 707 model to be equipped with wingtip fuel tanks
707-320,0,first certified for instrument flight rules
707-320,0,first flew in 1958
707-320,0,first flew in 1959
707-320,0,first flew in 1967
707-320,0,first flew in february 1959
707-320,0,first flown in 1958
707-320,0,first flown in 1963
707-320,0,first introduced in 1959
707-320,0,first introduced in 1964
707-320,0,first introduced in 1967
707-320,0,first jet airliner to be produced in significant numbers
707-320,0,first jetliner that was designed and built by boeing
707-320,0,first jetliner to be equipped with a hush kit
707-320,0,first jetliner to be equipped with an apu
707-320,0,first jetliner to be equipped with an autopilot
707-320,0,first jetliner to be equipped with turbofan engines
707-320,0,first jetliner to be equipped with wingtip fuel tanks
707-320,0,first jetliner to be fitted with an air conditioning system
707-320,0,first jetliner to be produced by boeing
707-320,0,first jetliner to be produced in a stretched version
707-320,0,first jetliner to be produced with a glass cockpit
707-320,0,first jetliner to be widely used by airlines around the world
707-320,0,first produced by boeing in 1958
707-320,0,first to be powered by the new pratt
707-320,0,fly at speeds of over 600 miles per hour
707-320,0,fly at speeds of up to 600 miles per hour
707-320,0,fly for a long time without refueling
707-320,0,four engines
707-320,0,four engines mounted on pylons beneath the wings
707-320,0,four engines mounted on pylons under the
707-320,0,four engines mounted on pylons under the wings
707-320,0,four engines mounted on the wings
707-320,0,"four engines, two mounted on each wing"
707-320,0,"four engines, two on each side"
707-320,0,"four engines, two on each wing"
707-320,0,four jet engines
707-320,0,"four large engines, two on each wing"
707-320,0,four pratt & whitney jt3d engines
707-320,0,four pratt & whitney jt3d-3b turbofan engines
707-320,0,four turbofan engines
707-320,0,four-engine commercial jet airliner
707-320,0,four-engine commercial jetliner
707-320,0,four-engine jet commercial airliner
707-320,0,four-person crew
707-320,0,freighter version of the aircraft
707-320,0,fuselage length of 146 feet
707-320,0,glossy white
707-320,0,graceful appearance
707-320,0,graceful curves
707-320,0,great aircraft
707-320,0,great aircraft for both short and long-distance travel
707-320,0,great choice for anyone looking for a new plane
707-320,0,"great choice for anyone looking for a spacious, comfortable, and modern aircraft"
707-320,0,great plane
707-320,0,great plane for long distance travel
707-320,0,great plane for long trips
707-320,0,great safety record
707-320,0,great view
707-320,0,great view of outside
707-320,0,greater range and capacity than the 707-120
707-320,0,has a lot of depth and dimension
707-320,0,has air conditioning
707-320,0,helps to stabilize the aircraft in flight
707-320,0,high-mounted tail fin
707-320,0,higher fuel capacity and longer range than the 707-120
707-320,0,higher maximum takeoff weight
707-320,0,higher maximum takeoff weight and range than the 707-120
707-320,0,highly reliable and efficient aircraft
707-320,0,hijacking and a crash landing
707-320,0,hit with passengers and crew alike
707-320,0,housed the aircraft's radar system and other avionics
707-320,0,houses the aircraft's radar equipment
707-320,0,iconic aircraft
707-320,0,iconic aircraft that is recognized around the world
707-320,0,ideal for long-haul flights
707-320,0,impress anyone who sees it
707-320,0,impressive aircraft
707-320,0,impressive size is sure to intimidate other aircraft
707-320,0,in production until 1978
707-320,0,in service since the 1960s
707-320,0,in service with a number of airlines
707-320,0,in service with a number of airlines around the world
707-320,0,in service with some airlines today
707-320,0,introduced in 1960
707-320,0,introduced in 1964
707-320,0,introduced in february 1959
707-320,0,introduced in may 1959
707-320,0,introduced into service in 1964
707-320,0,introduced into service in 1968
707-320,0,introduced into service the following year
707-320,0,involved in a number of accidents and incidents
707-320,0,involved in a number of incidents and accidents over the years
707-320,0,"known for its comfort, economic operation, and versatility"
707-320,0,known for its durability
707-320,0,landing gear
707-320,0,landing gear arrangement and a t-tail
707-320,0,landing gear configuration with two main wheels and a nose wheel
707-320,0,landing gear of the aircraft is retractable
707-320,0,landing gear system
707-320,0,landing is straightforward
707-320,0,"large ""billboard"" style advertising on the sides"
707-320,0,large aircraft
707-320,0,large aircraft with a long body and a wingspan of over 150 feet
707-320,0,large aircraft with a wingspan of over 150 feet
707-320,0,large cargo hold
707-320,0,"large jet airliner with a long, slender fuselage and swept-"
707-320,0,large tail fin
707-320,0,large windows
707-320,0,large windows all around
707-320,0,large windows for passengers to enjoy the view
707-320,0,large windows that provide good views for passengers
707-320,0,large wings
707-320,0,"large, four-engined jet airliner"
